model,prediction_file,num_samples,num_classes,overall_accuracy,per_class_accuracy_file,classification_report_file,confusion_matrix_file,confusion_matrix_normalized_file
gaussian_nb,C:\AIA_workspace\data\processed\predictions\classical\gaussian_nb_predictions.csv,573,32,0.7521815008726004,C:\AIA_workspace\results\tables\per_class_accuracy_gaussian_nb.csv,C:\AIA_workspace\results\tables\classification_report_gaussian_nb.csv,C:\AIA_workspace\results\tables\confusion_matrix_gaussian_nb.csv,C:\AIA_workspace\results\tables\confusion_matrix_normalized_gaussian_nb.csv
knn_k5,C:\AIA_workspace\data\processed\predictions\classical\knn_k5_predictions.csv,573,32,0.7190226876090751,C:\AIA_workspace\results\tables\per_class_accuracy_knn_k5.csv,C:\AIA_workspace\results\tables\classification_report_knn_k5.csv,C:\AIA_workspace\results\tables\confusion_matrix_knn_k5.csv,C:\AIA_workspace\results\tables\confusion_matrix_normalized_knn_k5.csv
