model_name,feature_count,n_train,n_test,train_accuracy,test_accuracy,training_time_seconds,model_path,prediction_path,knn_k,standard_scaler
gaussian_nb,27,1334,573,0.7736131934032984,0.7521815008726004,0.0358121395111084,C:\AIA_workspace\models\classical\gaussian_nb.joblib,C:\AIA_workspace\data\processed\predictions\classical\gaussian_nb_predictions.csv,,True
knn_k5,27,1334,573,0.8320839580209896,0.7190226876090751,0.5211029052734375,C:\AIA_workspace\models\classical\knn_k5.joblib,C:\AIA_workspace\data\processed\predictions\classical\knn_k5_predictions.csv,5.0,True
